match_id,season,team,batsman,batting_hand,runs,balls,fours,sixes,strike_rate,dismissed
10,2008,Royal Challengers Bangalore,Faf du Plessis,RHB,19,19,2,2,100.0,True
10,2008,Kolkata Knight Riders,Andre Russell,RHB,45,45,7,4,100.0,True
10,2008,Kolkata Knight Riders,Gautam Gambhir,LHB,34,34,4,1,100.0,True
10,2008,Kolkata Knight Riders,Shreyas Iyer,RHB,17,17,1,1,100.0,True
11,2008,Kolkata Knight Riders,Andre Russell,RHB,62,60,5,7,103.33,True
11,2008,Kolkata Knight Riders,Gautam Gambhir,LHB,54,54,9,4,100.0,True
11,2008,Kolkata Knight Riders,Shreyas Iyer,RHB,44,44,5,1,100.0,True
11,2008,Rajasthan Royals,Jos Buttler,RHB,36,36,5,3,100.0,True
11,2008,Rajasthan Royals,Sanju Samson,RHB,36,36,5,3,100.0,True
12,2008,Sunrisers Hyderabad,David Warner,LHB,44,44,4,2,100.0,False
12,2008,Chennai Super Kings,MS Dhoni,RHB,46,46,5,5,100.0,True
12,2008,Chennai Super Kings,Suresh Raina,LHB,33,33,3,0,100.0,True
12,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,26,26,2,3,100.0,True
13,2008,Delhi Capitals,Shikhar Dhawan,LHB,45,45,5,3,100.0,False
13,2008,Delhi Capitals,Rishabh Pant,LHB,25,25,4,1,100.0,True
13,2008,Sunrisers Hyderabad,David Warner,LHB,47,47,3,1,100.0,True
14,2008,Punjab Kings,KL Rahul,RHB,39,39,3,4,100.0,True
14,2008,Punjab Kings,Chris Gayle,RHB,41,41,6,1,100.0,True
14,2008,Mumbai Indians,Rohit Sharma,RHB,60,60,10,7,100.0,True
14,2008,Mumbai Indians,Hardik Pandya,RHB,42,42,5,1,100.0,False
14,2008,Mumbai Indians,Ishan Kishan,LHB,29,29,2,2,100.0,True
14,2008,Mumbai Indians,Quinton de Kock,LHB,26,26,4,2,100.0,True
15,2008,Chennai Super Kings,MS Dhoni,RHB,55,55,7,6,100.0,True
15,2008,Chennai Super Kings,Suresh Raina,LHB,39,39,4,3,100.0,True
15,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,23,23,3,0,100.0,True
15,2008,Kolkata Knight Riders,Andre Russell,RHB,45,45,5,0,100.0,False
15,2008,Kolkata Knight Riders,Gautam Gambhir,LHB,24,24,4,1,100.0,False
15,2008,Kolkata Knight Riders,Shreyas Iyer,RHB,30,30,3,3,100.0,True
16,2008,Chennai Super Kings,MS Dhoni,RHB,49,49,6,1,100.0,False
16,2008,Chennai Super Kings,Suresh Raina,LHB,34,34,3,1,100.0,True
16,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,26,26,4,0,100.0,False
16,2008,Sunrisers Hyderabad,David Warner,LHB,64,60,7,6,106.67,False
17,2008,Punjab Kings,KL Rahul,RHB,58,58,7,3,100.0,True
17,2008,Punjab Kings,Chris Gayle,RHB,43,43,5,2,100.0,True
17,2008,Mumbai Indians,Rohit Sharma,RHB,43,43,4,4,100.0,False
17,2008,Mumbai Indians,Hardik Pandya,RHB,23,23,2,0,100.0,False
17,2008,Mumbai Indians,Ishan Kishan,LHB,18,18,3,0,100.0,False
17,2008,Mumbai Indians,Quinton de Kock,LHB,21,21,2,1,100.0,True
18,2008,Delhi Capitals,Shikhar Dhawan,LHB,51,51,5,2,100.0,True
18,2008,Delhi Capitals,Rishabh Pant,LHB,49,49,8,3,100.0,True
18,2008,Rajasthan Royals,Jos Buttler,RHB,45,45,5,1,100.0,False
18,2008,Rajasthan Royals,Sanju Samson,RHB,32,32,3,3,100.0,False
19,2008,Punjab Kings,KL Rahul,RHB,39,39,3,4,100.0,True
19,2008,Punjab Kings,Chris Gayle,RHB,37,37,5,3,100.0,False
19,2008,Mumbai Indians,Rohit Sharma,RHB,30,30,4,2,100.0,True
19,2008,Mumbai Indians,Hardik Pandya,RHB,21,21,2,1,100.0,True
19,2008,Mumbai Indians,Ishan Kishan,LHB,21,21,1,2,100.0,False
19,2008,Mumbai Indians,Quinton de Kock,LHB,10,10,1,0,100.0,True
20,2008,Chennai Super Kings,MS Dhoni,RHB,51,51,5,2,100.0,True
20,2008,Chennai Super Kings,Suresh Raina,LHB,26,26,3,3,100.0,True
20,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,21,21,3,2,100.0,True
20,2008,Mumbai Indians,Rohit Sharma,RHB,44,44,4,4,100.0,True
20,2008,Mumbai Indians,Hardik Pandya,RHB,43,43,5,4,100.0,True
20,2008,Mumbai Indians,Ishan Kishan,LHB,35,35,5,2,100.0,True
20,2008,Mumbai Indians,Quinton de Kock,LHB,21,21,1,1,100.0,True
21,2008,Royal Challengers Bangalore,Virat Kohli,RHB,57,57,9,4,100.0,True
21,2008,Royal Challengers Bangalore,AB de Villiers,RHB,50,50,5,4,100.0,True
21,2008,Royal Challengers Bangalore,Faf du Plessis,RHB,28,28,4,0,100.0,False
21,2008,Punjab Kings,KL Rahul,RHB,46,46,5,5,100.0,True
21,2008,Punjab Kings,Chris Gayle,RHB,43,43,6,2,100.0,True
22,2008,Sunrisers Hyderabad,David Warner,LHB,57,57,8,6,100.0,True
22,2008,Kolkata Knight Riders,Andre Russell,RHB,37,37,3,2,100.0,True
22,2008,Kolkata Knight Riders,Gautam Gambhir,LHB,30,30,4,2,100.0,True
22,2008,Kolkata Knight Riders,Shreyas Iyer,RHB,31,31,5,2,100.0,True
23,2008,Mumbai Indians,Rohit Sharma,RHB,36,36,5,3,100.0,True
23,2008,Mumbai Indians,Hardik Pandya,RHB,28,28,4,0,100.0,False
23,2008,Mumbai Indians,Ishan Kishan,LHB,28,28,3,1,100.0,True
23,2008,Mumbai Indians,Quinton de Kock,LHB,18,18,2,2,100.0,True
23,2008,Delhi Capitals,Shikhar Dhawan,LHB,30,30,4,3,100.0,False
23,2008,Delhi Capitals,Rishabh Pant,LHB,26,26,3,1,100.0,True
24,2008,Mumbai Indians,Rohit Sharma,RHB,34,34,3,1,100.0,False
24,2008,Mumbai Indians,Hardik Pandya,RHB,30,30,4,2,100.0,True
24,2008,Mumbai Indians,Ishan Kishan,LHB,24,24,3,2,100.0,True
24,2008,Mumbai Indians,Quinton de Kock,LHB,23,23,3,0,100.0,False
24,2008,Chennai Super Kings,MS Dhoni,RHB,53,53,5,2,100.0,True
24,2008,Chennai Super Kings,Suresh Raina,LHB,43,43,6,2,100.0,False
24,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,24,24,2,1,100.0,True
25,2008,Punjab Kings,KL Rahul,RHB,54,54,4,3,100.0,True
25,2008,Punjab Kings,Chris Gayle,RHB,48,48,7,3,100.0,False
25,2008,Chennai Super Kings,MS Dhoni,RHB,29,29,4,0,100.0,True
25,2008,Chennai Super Kings,Suresh Raina,LHB,24,24,2,2,100.0,True
25,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,16,16,1,1,100.0,True
26,2008,Chennai Super Kings,MS Dhoni,RHB,37,37,5,3,100.0,True
26,2008,Chennai Super Kings,Suresh Raina,LHB,36,36,4,1,100.0,True
26,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,25,25,2,1,100.0,True
26,2008,Mumbai Indians,Rohit Sharma,RHB,47,47,6,1,100.0,True
26,2008,Mumbai Indians,Hardik Pandya,RHB,25,25,2,0,100.0,True
26,2008,Mumbai Indians,Ishan Kishan,LHB,29,29,4,1,100.0,True
26,2008,Mumbai Indians,Quinton de Kock,LHB,13,13,1,1,100.0,True
27,2008,Chennai Super Kings,MS Dhoni,RHB,48,48,5,2,100.0,True
27,2008,Chennai Super Kings,Suresh Raina,LHB,36,36,6,1,100.0,True
27,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,22,22,3,2,100.0,False
27,2008,Mumbai Indians,Rohit Sharma,RHB,40,40,6,3,100.0,True
27,2008,Mumbai Indians,Hardik Pandya,RHB,36,36,4,1,100.0,True
27,2008,Mumbai Indians,Ishan Kishan,LHB,30,30,3,3,100.0,True
27,2008,Mumbai Indians,Quinton de Kock,LHB,17,17,3,0,100.0,True
28,2008,Punjab Kings,KL Rahul,RHB,36,36,3,3,100.0,True
28,2008,Punjab Kings,Chris Gayle,RHB,51,51,5,3,100.0,True
28,2008,Chennai Super Kings,MS Dhoni,RHB,57,57,7,4,100.0,True
28,2008,Chennai Super Kings,Suresh Raina,LHB,43,43,6,1,100.0,False
28,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,26,26,4,0,100.0,True
29,2008,Chennai Super Kings,MS Dhoni,RHB,36,36,3,1,100.0,True
29,2008,Chennai Super Kings,Suresh Raina,LHB,24,24,3,1,100.0,True
29,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,30,30,5,3,100.0,False
29,2008,Mumbai Indians,Rohit Sharma,RHB,51,51,8,3,100.0,True
29,2008,Mumbai Indians,Hardik Pandya,RHB,28,28,4,2,100.0,True
29,2008,Mumbai Indians,Ishan Kishan,LHB,28,28,3,3,100.0,False
29,2008,Mumbai Indians,Quinton de Kock,LHB,19,19,2,1,100.0,True
30,2008,Punjab Kings,KL Rahul,RHB,59,59,9,3,100.0,True
30,2008,Punjab Kings,Chris Gayle,RHB,41,41,6,2,100.0,True
30,2008,Chennai Super Kings,MS Dhoni,RHB,49,49,8,1,100.0,True
30,2008,Chennai Super Kings,Suresh Raina,LHB,47,47,5,1,100.0,True
30,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,28,28,2,1,100.0,False
31,2008,Delhi Capitals,Shikhar Dhawan,LHB,55,55,8,3,100.0,False
31,2008,Delhi Capitals,Rishabh Pant,LHB,38,38,3,1,100.0,True
31,2008,Rajasthan Royals,Jos Buttler,RHB,33,33,4,3,100.0,True
31,2008,Rajasthan Royals,Sanju Samson,RHB,41,41,3,2,100.0,True
32,2008,Delhi Capitals,Shikhar Dhawan,LHB,36,36,4,2,100.0,True
32,2008,Delhi Capitals,Rishabh Pant,LHB,29,29,4,2,100.0,False
32,2008,Chennai Super Kings,MS Dhoni,RHB,34,34,5,1,100.0,False
32,2008,Chennai Super Kings,Suresh Raina,LHB,27,27,4,2,100.0,True
32,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,19,19,2,1,100.0,False
33,2008,Punjab Kings,KL Rahul,RHB,41,41,6,4,100.0,True
33,2008,Punjab Kings,Chris Gayle,RHB,48,48,5,3,100.0,False
33,2008,Delhi Capitals,Shikhar Dhawan,LHB,42,42,4,3,100.0,True
33,2008,Delhi Capitals,Rishabh Pant,LHB,35,35,3,0,100.0,True
34,2008,Chennai Super Kings,MS Dhoni,RHB,52,52,6,1,100.0,True
34,2008,Chennai Super Kings,Suresh Raina,LHB,27,27,2,2,100.0,True
34,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,25,25,2,1,100.0,True
34,2008,Sunrisers Hyderabad,David Warner,LHB,51,51,5,1,100.0,True
35,2008,Mumbai Indians,Rohit Sharma,RHB,45,45,4,5,100.0,True
35,2008,Mumbai Indians,Hardik Pandya,RHB,40,40,4,2,100.0,False
35,2008,Mumbai Indians,Ishan Kishan,LHB,32,32,4,1,100.0,False
35,2008,Mumbai Indians,Quinton de Kock,LHB,20,20,3,1,100.0,True
35,2008,Delhi Capitals,Shikhar Dhawan,LHB,42,42,5,1,100.0,True
35,2008,Delhi Capitals,Rishabh Pant,LHB,29,29,4,1,100.0,True
36,2008,Delhi Capitals,Shikhar Dhawan,LHB,45,45,4,3,100.0,True
36,2008,Delhi Capitals,Rishabh Pant,LHB,36,36,5,0,100.0,True
36,2008,Kolkata Knight Riders,Andre Russell,RHB,53,53,7,4,100.0,True
36,2008,Kolkata Knight Riders,Gautam Gambhir,LHB,36,36,5,2,100.0,False
36,2008,Kolkata Knight Riders,Shreyas Iyer,RHB,41,41,6,2,100.0,False
37,2008,Punjab Kings,KL Rahul,RHB,42,42,5,1,100.0,True
37,2008,Punjab Kings,Chris Gayle,RHB,44,44,5,1,100.0,True
37,2008,Delhi Capitals,Shikhar Dhawan,LHB,50,50,8,2,100.0,False
37,2008,Delhi Capitals,Rishabh Pant,LHB,31,31,3,2,100.0,True
38,2008,Chennai Super Kings,MS Dhoni,RHB,43,43,6,1,100.0,True
38,2008,Chennai Super Kings,Suresh Raina,LHB,24,24,2,2,100.0,True
38,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,22,22,2,1,100.0,True
38,2008,Punjab Kings,KL Rahul,RHB,46,46,5,3,100.0,False
38,2008,Punjab Kings,Chris Gayle,RHB,44,44,6,0,100.0,True
39,2008,Mumbai Indians,Rohit Sharma,RHB,39,39,5,0,100.0,True
39,2008,Mumbai Indians,Hardik Pandya,RHB,43,43,5,1,100.0,False
39,2008,Mumbai Indians,Ishan Kishan,LHB,35,35,5,3,100.0,True
39,2008,Mumbai Indians,Quinton de Kock,LHB,23,23,2,2,100.0,True
39,2008,Sunrisers Hyderabad,David Warner,LHB,47,47,4,1,100.0,True
40,2008,Chennai Super Kings,MS Dhoni,RHB,58,58,9,5,100.0,True
40,2008,Chennai Super Kings,Suresh Raina,LHB,39,39,6,3,100.0,True
40,2008,Chennai Super Kings,Ruturaj Gaikwad,RHB,32,32,4,2,100.0,True
40,2008,Sunrisers Hyderabad,David Warner,LHB,29,29,3,1,100.0,True
41,2008,Delhi Capitals,Shikhar Dhawan,LHB,38,38,6,2,100.0,True
41,2008,Delhi Capitals,Rishabh Pant,LHB,29,29,4,1,100.0,False
41,2008,Punjab Kings,KL Rahul,RHB,56,56,8,2,100.0,True
41,2008,Punjab Kings,Chris Gayle,RHB,41,41,7,3,100.0,True
42,2008,Mumbai Indians,Rohit Sharma,RHB,48,48,4,4,100.0,True
42,2008,Mumbai Indians,Hardik Pandya,RHB,35,35,3,3,100.0,False
42,2008,Mumbai Indians,Ishan Kishan,LHB,41,41,6,1,100.0,True
42,2008,Mumbai Indians,Quinton de Kock,LHB,17,17,1,1,100.0,True
42,2008,Punjab Kings,KL Rahul,RHB,30,30,2,3,100.0,True
42,2008,Punjab Kings,Chris Gayle,RHB,28,28,2,2,100.0,True
43,2008,Rajasthan Royals,Jos Buttler,RHB,38,38,6,1,100.0,False
43,2008,Rajasthan Royals,Sanju Samson,RHB,41,41,6,4,100.0,True
43,2008,Delhi Capitals,Shikhar Dhawan,LHB,36,36,3,1,100.0,True
43,2008,Delhi Capitals,Rishabh Pant,LHB,43,43,6,4,100.0,True
44,2008,Sunrisers Hyderabad,David Warner,LHB,62,60,6,1,103.33,True
44,2008,Delhi Capitals,Shikhar Dhawan,LHB,44,44,3,2,100.0,True
44,2008,Delhi Capitals,Rishabh Pant,LHB,43,43,4,3,100.0,False
45,2008,Mumbai Indians,Rohit Sharma,RHB,37,37,5,3,100.0,True
45,2008,Mumbai Indians,Hardik Pandya,RHB,40,40,6,3,100.0,True
45,2008,Mumbai Indians,Ishan Kishan,LHB,29,29,4,2,100.0,True
45,2008,Mumbai Indians,Quinton de Kock,LHB,19,19,2,1,100.0,True
45,2008,Royal Challengers Bangalore,Virat Kohli,RHB,54,54,5,4,100.0,False
45,2008,Royal Challengers Bangalore,AB de Villiers,RHB,47,47,5,3,100.0,True
45,2008,Royal Challengers Bangalore,Faf du Plessis,RHB,25,25,4,2,100.0,True
46,2008,Rajasthan Royals,Jos Buttler,RHB,55,55,7,1,100.0,True
46,2008,Rajasthan Royals,Sanju Samson,RHB,36,36,5,2,100.0,False
46,2008,Delhi Capitals,Shikhar Dhawan,LHB,64,60,8,5,106.67,False
46,2008,Delhi Capitals,Rishabh Pant,LHB,44,44,4,1,100.0,False
47,2008,Royal Challengers Bangalore,Virat Kohli,RHB,46,46,4,4,100.0,True
47,2008,Royal Challengers Bangalore,AB de Villiers,RHB,33,33,5,1,100.0,True
47,2008,Royal Challengers Bangalore,Faf du Plessis,RHB,19,19,2,1,100.0,True
47,2008,Sunrisers Hyderabad,David Warner,LHB,52,52,9,3,100.0,False
48,2008,Rajasthan Royals,Jos Buttler,RHB,44,44,4,3,100.0,True
48,2008,Rajasthan Royals,Sanju Samson,RHB,30,30,4,2,100.0,True
48,2008,Punjab Kings,KL Rahul,RHB,33,33,2,2,100.0,False
48,2008,Punjab Kings,Chris Gayle,RHB,21,21,3,2,100.0,True
49,2008,Delhi Capitals,Shikhar Dhawan,LHB,53,53,8,5,100.0,False
49,2008,Delhi Capitals,Rishabh Pant,LHB,31,31,3,3,100.0,True
49,2008,Rajasthan Royals,Jos Buttler,RHB,61,60,10,5,101.67,True
49,2008,Rajasthan Royals,Sanju Samson,RHB,47,47,7,1,100.0,True
50,2008,Delhi Capitals,Shikhar Dhawan,LHB,42,42,7,4,100.0,False
50,2008,Delhi Capitals,Rishabh Pant,LHB,44,44,3,2,100.0,True
50,2008,Rajasthan Royals,Jos Buttler,RHB,32,32,3,2,100.0,True
50,2008,Rajasthan Royals,Sanju Samson,RHB,29,29,2,1,100.0,False
51,2008,Mumbai Indians,Rohit Sharma,RHB,51,51,9,3,100.0,True
51,2008,Mumbai Indians,Hardik Pandya,RHB,27,27,3,1,100.0,True
51,2008,Mumbai Indians,Ishan Kishan,LHB,21,21,2,1,100.0,True
51,2008,Mumbai Indians,Quinton de Kock,LHB,18,18,1,1,100.0,True
51,2008,Punjab Kings,KL Rahul,RHB,33,33,5,1,100.0,True
51,2008,Punjab Kings,Chris Gayle,RHB,25,25,2,1,100.0,True
52,2008,Sunrisers Hyderabad,David Warner,LHB,53,53,7,3,100.0,True
52,2008,Punjab Kings,KL Rahul,RHB,32,32,3,2,100.0,True
52,2008,Punjab Kings,Chris Gayle,RHB,24,24,2,2,100.0,True
53,2008,Delhi Capitals,Shikhar Dhawan,LHB,33,33,4,3,100.0,True
53,2008,Delhi Capitals,Rishabh Pant,LHB,37,37,5,3,100.0,False
53,2008,Mumbai Indians,Rohit Sharma,RHB,42,42,6,4,100.0,True
53,2008,Mumbai Indians,Hardik Pandya,RHB,46,46,4,3,100.0,True
53,2008,Mumbai Indians,Ishan Kishan,LHB,35,35,4,3,100.0,True
53,2008,Mumbai Indians,Quinton de Kock,LHB,18,18,2,0,100.0,False
54,2008,Sunrisers Hyderabad,David Warner,LHB,54,54,5,2,100.0,True
54,2008,Delhi Capitals,Shikhar Dhawan,LHB,59,59,8,4,100.0,True
54,2008,Delhi Capitals,Rishabh Pant,LHB,36,36,3,2,100.0,True
55,2008,Delhi Capitals,Shikhar Dhawan,LHB,44,44,4,3,100.0,False
55,2008,Delhi Capitals,Rishabh Pant,LHB,30,30,3,1,100.0,True
55,2008,Sunrisers Hyderabad,David Warner,LHB,53,53,9,6,100.0,True
56,2008,Rajasthan Royals,Jos Buttler,RHB,38,38,4,3,100.0,False
56,2008,Rajasthan Royals,Sanju Samson,RHB,26,26,3,2,100.0,True
56,2008,Sunrisers Hyderabad,David Warner,LHB,53,53,7,2,100.0,True
57,2008,Rajasthan Royals,Jos Buttler,RHB,39,39,4,1,100.0,True
57,2008,Rajasthan Royals,Sanju Samson,RHB,26,26,4,2,100.0,True
57,2008,Delhi Capitals,Shikhar Dhawan,LHB,68,60,8,3,113.33,True
57,2008,Delhi Capitals,Rishabh Pant,LHB,35,35,6,0,100.0,True
58,2008,Sunrisers Hyderabad,David Warner,LHB,40,40,4,4,100.0,True
58,2008,Kolkata Knight Riders,Andre Russell,RHB,46,46,7,1,100.0,True
58,2008,Kolkata Knight Riders,Gautam Gambhir,LHB,36,36,5,4,100.0,True
58,2008,Kolkata Knight Riders,Shreyas Iyer,RHB,35,35,5,1,100.0,True
59,2008,Delhi Capitals,Shikhar Dhawan,LHB,33,33,3,2,100.0,True
59,2008,Delhi Capitals,Rishabh Pant,LHB,39,39,5,2,100.0,True
59,2008,Punjab Kings,KL Rahul,RHB,28,28,3,1,100.0,True
59,2008,Punjab Kings,Chris Gayle,RHB,36,36,2,2,100.0,False
60,2008,Royal Challengers Bangalore,Virat Kohli,RHB,44,44,6,1,100.0,True
60,2008,Royal Challengers Bangalore,AB de Villiers,RHB,44,44,4,2,100.0,False
60,2008,Royal Challengers Bangalore,Faf du Plessis,RHB,39,39,6,1,100.0,True
60,2008,Mumbai Indians,Rohit Sharma,RHB,57,57,8,4,100.0,True
60,2008,Mumbai Indians,Hardik Pandya,RHB,49,49,4,1,100.0,False
60,2008,Mumbai Indians,Ishan Kishan,LHB,38,38,5,1,100.0,False
60,2008,Mumbai Indians,Quinton de Kock,LHB,19,19,3,1,100.0,True
61,2009,Kolkata Knight Riders,Andre Russell,RHB,64,60,9,5,106.67,True
61,2009,Kolkata Knight Riders,Gautam Gambhir,LHB,35,35,6,3,100.0,False
61,2009,Kolkata Knight Riders,Shreyas Iyer,RHB,37,37,4,4,100.0,False
61,2009,Sunrisers Hyderabad,David Warner,LHB,28,28,4,2,100.0,True
62,2009,Rajasthan Royals,Jos Buttler,RHB,69,60,7,1,115.0,True
62,2009,Rajasthan Royals,Sanju Samson,RHB,41,41,4,4,100.0,True
62,2009,Chennai Super Kings,MS Dhoni,RHB,47,47,5,5,100.0,True
62,2009,Chennai Super Kings,Suresh Raina,LHB,21,21,2,1,100.0,True
62,2009,Chennai Super Kings,Ruturaj Gaikwad,RHB,19,19,2,1,100.0,False
63,2009,Punjab Kings,KL Rahul,RHB,42,42,6,3,100.0,False
63,2009,Punjab Kings,Chris Gayle,RHB,45,45,7,4,100.0,True
63,2009,Chennai Super Kings,MS Dhoni,RHB,66,60,5,2,110.0,True
63,2009,Chennai Super Kings,Suresh Raina,LHB,49,49,5,5,100.0,False
63,2009,Chennai Super Kings,Ruturaj Gaikwad,RHB,45,45,5,4,100.0,True
64,2009,Punjab Kings,KL Rahul,RHB,36,36,3,1,100.0,True
64,2009,Punjab Kings,Chris Gayle,RHB,31,31,2,2,100.0,True
64,2009,Chennai Super Kings,MS Dhoni,RHB,43,43,5,2,100.0,True
64,2009,Chennai Super Kings,Suresh Raina,LHB,35,35,3,1,100.0,True
64,2009,Chennai Super Kings,Ruturaj Gaikwad,RHB,27,27,3,2,100.0,False
65,2009,Kolkata Knight Riders,Andre Russell,RHB,51,51,8,3,100.0,True
65,2009,Kolkata Knight Riders,Gautam Gambhir,LHB,40,40,4,2,100.0,True
65,2009,Kolkata Knight Riders,Shreyas Iyer,RHB,21,21,3,0,100.0,True
65,2009,Royal Challengers Bangalore,Virat Kohli,RHB,44,44,4,5,100.0,True
65,2009,Royal Challengers Bangalore,AB de Villiers,RHB,27,27,3,2,100.0,True
65,2009,Royal Challengers Bangalore,Faf du Plessis,RHB,19,19,2,0,100.0,True
66,2009,Chennai Super Kings,MS Dhoni,RHB,31,31,3,3,100.0,True
66,2009,Chennai Super Kings,Suresh Raina,LHB,36,36,3,4,100.0,True
66,2009,Chennai Super Kings,Ruturaj Gaikwad,RHB,24,24,2,0,100.0,True
66,2009,Punjab Kings,KL Rahul,RHB,51,51,5,4,100.0,False
66,2009,Punjab Kings,Chris Gayle,RHB,30,30,3,3,100.0,False
67,2009,Rajasthan Royals,Jos Buttler,RHB,49,49,5,2,100.0,True
67,2009,Rajasthan Royals,Sanju Samson,RHB,38,38,3,1,100.0,True
67,2009,Royal Challengers Bangalore,Virat Kohli,RHB,47,47,7,1,100.0,True
67,2009,Royal Challengers Bangalore,AB de Villiers,RHB,35,35,5,2,100.0,True
67,2009,Royal Challengers Bangalore,Faf du Plessis,RHB,30,30,5,0,100.0,True
68,2009,Mumbai Indians,Rohit Sharma,RHB,53,53,7,1,100.0,False
68,2009,Mumbai Indians,Hardik Pandya,RHB,32,32,3,2,100.0,True
68,2009,Mumbai Indians,Ishan Kishan,LHB,34,34,5,0,100.0,True
68,2009,Mumbai Indians,Quinton de Kock,LHB,17,17,2,1,100.0,True
