match_id,season,date,team1,team2,venue,toss_winner,toss_decision,team1_score,team2_score,winner,win_by_type,win_margin,player_of_match,city
42,2008,2008-04-27,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,bat,194,152,Mumbai Indians,wickets,3,Quinton de Kock,Mumbai
43,2008,2008-05-11,Rajasthan Royals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,153,152,Rajasthan Royals,runs,1,Rishabh Pant,Jaipur
44,2008,2008-03-21,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,field,184,169,Sunrisers Hyderabad,runs,15,David Warner,Hyderabad
45,2008,2008-01-21,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,field,158,173,Royal Challengers Bangalore,runs,15,Ishan Kishan,Mumbai
46,2008,2008-04-10,Rajasthan Royals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,169,182,Delhi Capitals,runs,13,Rishabh Pant,Jaipur
47,2008,2008-02-13,Royal Challengers Bangalore,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bangalore",Sunrisers Hyderabad,field,155,156,Sunrisers Hyderabad,runs,1,David Warner,Bangalore
48,2008,2008-04-21,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,160,133,Rajasthan Royals,runs,27,Chris Gayle,Jaipur
49,2008,2008-04-20,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,173,168,Delhi Capitals,runs,5,Rishabh Pant,Delhi
50,2008,2008-05-20,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,168,158,Delhi Capitals,wickets,9,Sanju Samson,Delhi
51,2008,2008-05-23,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,bat,142,154,Punjab Kings,wickets,1,Rohit Sharma,Mumbai
52,2008,2008-05-16,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Punjab Kings,field,161,146,Sunrisers Hyderabad,runs,15,KL Rahul,Hyderabad
53,2008,2008-04-12,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Mumbai Indians,bat,165,171,Mumbai Indians,runs,6,Hardik Pandya,Delhi
54,2008,2008-03-26,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Delhi Capitals,field,201,166,Sunrisers Hyderabad,runs,35,Rishabh Pant,Hyderabad
55,2008,2008-02-16,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,field,172,161,Delhi Capitals,wickets,5,Rishabh Pant,Delhi
56,2008,2008-05-19,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,field,133,162,Sunrisers Hyderabad,runs,29,Sanju Samson,Jaipur
57,2008,2008-05-29,Rajasthan Royals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,169,212,Delhi Capitals,wickets,4,Sanju Samson,Jaipur
58,2008,2008-02-12,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Kolkata Knight Riders,field,164,169,Kolkata Knight Riders,runs,5,Shreyas Iyer,Hyderabad
59,2008,2008-02-16,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Punjab Kings,bat,167,139,Delhi Capitals,runs,28,Rishabh Pant,Delhi
60,2008,2008-04-30,Royal Challengers Bangalore,Mumbai Indians,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,bat,188,178,Royal Challengers Bangalore,wickets,2,Hardik Pandya,Bangalore
61,2009,2009-01-13,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Sunrisers Hyderabad,field,182,144,Kolkata Knight Riders,wickets,4,Andre Russell,Kolkata
62,2009,2009-02-13,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,193,134,Rajasthan Royals,wickets,1,Ruturaj Gaikwad,Jaipur
63,2009,2009-05-23,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,field,178,206,Chennai Super Kings,wickets,8,Ruturaj Gaikwad,Mohali
64,2009,2009-05-25,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,field,150,151,Chennai Super Kings,wickets,4,KL Rahul,Mohali
65,2009,2009-03-20,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore,bat,169,152,Kolkata Knight Riders,wickets,4,Andre Russell,Kolkata
66,2009,2009-01-23,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,140,164,Punjab Kings,wickets,3,Suresh Raina,Chennai
67,2009,2009-04-22,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,field,148,172,Royal Challengers Bangalore,runs,24,AB de Villiers,Jaipur
68,2009,2009-03-22,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,field,151,193,Rajasthan Royals,runs,42,Jos Buttler,Mumbai
69,2009,2009-04-25,Rajasthan Royals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,153,156,Delhi Capitals,runs,3,Jos Buttler,Jaipur
70,2009,2009-04-14,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,182,138,Mumbai Indians,wickets,3,Shreyas Iyer,Mumbai
71,2009,2009-04-15,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,172,189,Kolkata Knight Riders,wickets,3,Shreyas Iyer,Mumbai
72,2009,2009-03-20,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,field,139,166,Royal Challengers Bangalore,runs,27,Hardik Pandya,Mumbai
73,2009,2009-01-27,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,field,172,178,Royal Challengers Bangalore,runs,6,Jos Buttler,Jaipur
74,2009,2009-01-10,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,field,145,136,Mumbai Indians,runs,9,Quinton de Kock,Mumbai
75,2009,2009-02-25,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,177,168,Kolkata Knight Riders,runs,9,Suresh Raina,Kolkata
76,2009,2009-05-29,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,172,169,Chennai Super Kings,wickets,6,Suresh Raina,Chennai
77,2009,2009-01-19,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,155,167,Rajasthan Royals,runs,12,Ruturaj Gaikwad,Chennai
78,2009,2009-03-29,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,173,148,Rajasthan Royals,runs,25,Andre Russell,Jaipur
79,2009,2009-05-30,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,201,172,Chennai Super Kings,wickets,6,MS Dhoni,Chennai
80,2009,2009-03-30,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Mumbai Indians,field,146,176,Mumbai Indians,runs,30,Ishan Kishan,Hyderabad
81,2009,2009-05-30,Punjab Kings,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,150,178,Sunrisers Hyderabad,runs,28,Chris Gayle,Mohali
82,2009,2009-02-12,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Punjab Kings,field,188,146,Delhi Capitals,wickets,5,Rishabh Pant,Delhi
83,2009,2009-04-20,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,185,171,Delhi Capitals,wickets,6,Shikhar Dhawan,Delhi
84,2009,2009-05-18,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,field,182,200,Kolkata Knight Riders,wickets,6,Andre Russell,Bangalore
85,2009,2009-04-25,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,163,147,Mumbai Indians,runs,16,Quinton de Kock,Mumbai
86,2009,2009-01-19,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Sunrisers Hyderabad,field,151,146,Kolkata Knight Riders,wickets,8,David Warner,Kolkata
87,2009,2009-05-21,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,166,169,Punjab Kings,wickets,8,Shreyas Iyer,Kolkata
88,2009,2009-03-17,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,field,172,179,Sunrisers Hyderabad,wickets,5,Jos Buttler,Jaipur
89,2009,2009-02-16,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,168,192,Sunrisers Hyderabad,runs,24,David Warner,Chennai
90,2009,2009-02-21,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,bat,163,217,Royal Challengers Bangalore,runs,54,KL Rahul,Mohali
91,2009,2009-01-11,Royal Challengers Bangalore,Punjab Kings,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,field,179,145,Royal Challengers Bangalore,runs,34,KL Rahul,Bangalore
92,2009,2009-05-19,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,148,172,Sunrisers Hyderabad,wickets,2,David Warner,Delhi
93,2009,2009-03-25,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,field,163,177,Kolkata Knight Riders,runs,14,KL Rahul,Mohali
94,2009,2009-01-14,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,176,161,Chennai Super Kings,wickets,2,Ruturaj Gaikwad,Chennai
95,2009,2009-05-23,Royal Challengers Bangalore,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",Rajasthan Royals,bat,152,132,Royal Challengers Bangalore,runs,20,Virat Kohli,Bangalore
96,2009,2009-04-19,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field,159,180,Rajasthan Royals,wickets,5,Shreyas Iyer,Kolkata
97,2009,2009-01-15,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,171,138,Mumbai Indians,runs,33,Hardik Pandya,Mumbai
98,2009,2009-04-29,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,171,170,Kolkata Knight Riders,runs,1,Gautam Gambhir,Kolkata
99,2009,2009-01-17,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,bat,152,166,Royal Challengers Bangalore,wickets,5,Chris Gayle,Mohali
100,2009,2009-02-18,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,169,140,Delhi Capitals,runs,29,Rishabh Pant,Delhi
101,2009,2009-01-24,Royal Challengers Bangalore,Mumbai Indians,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,bat,174,174,Mumbai Indians,wickets,5,Hardik Pandya,Bangalore
102,2009,2009-05-11,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,field,187,184,Delhi Capitals,wickets,8,David Warner,Delhi
103,2009,2009-02-28,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,field,143,144,Sunrisers Hyderabad,wickets,1,David Warner,Jaipur
104,2009,2009-04-26,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,field,177,173,Mumbai Indians,runs,4,Hardik Pandya,Mumbai
105,2009,2009-04-21,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,177,240,Royal Challengers Bangalore,wickets,8,Virat Kohli,Mohali
106,2009,2009-03-23,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,field,178,185,Royal Challengers Bangalore,runs,7,AB de Villiers,Jaipur
107,2009,2009-01-20,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,field,185,176,Punjab Kings,runs,9,Chris Gayle,Mohali
108,2009,2009-04-23,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,162,178,Royal Challengers Bangalore,runs,16,Faf du Plessis,Delhi
109,2009,2009-01-16,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,field,154,158,Chennai Super Kings,wickets,8,Ruturaj Gaikwad,Mumbai
110,2009,2009-01-30,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,159,164,Punjab Kings,wickets,8,Shikhar Dhawan,Delhi
111,2009,2009-01-17,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,209,125,Kolkata Knight Riders,runs,84,Shreyas Iyer,Kolkata
112,2009,2009-03-26,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,180,130,Chennai Super Kings,runs,50,Gautam Gambhir,Chennai
113,2009,2009-05-14,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,field,159,184,Kolkata Knight Riders,runs,25,Gautam Gambhir,Delhi
114,2009,2009-05-18,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,169,141,Rajasthan Royals,wickets,7,Jos Buttler,Jaipur
115,2009,2009-05-25,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,field,155,176,Royal Challengers Bangalore,wickets,3,Hardik Pandya,Mumbai
116,2009,2009-05-22,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Royal Challengers Bangalore,field,154,167,Royal Challengers Bangalore,wickets,4,AB de Villiers,Hyderabad
117,2009,2009-04-30,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,bat,168,149,Kolkata Knight Riders,wickets,8,Gautam Gambhir,Kolkata
118,2009,2009-01-26,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,bat,206,175,Royal Challengers Bangalore,wickets,2,Faf du Plessis,Bangalore
119,2009,2009-04-18,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,131,166,Mumbai Indians,runs,35,Rohit Sharma,Mohali
120,2009,2009-05-22,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Delhi Capitals,field,156,180,Delhi Capitals,runs,24,Shikhar Dhawan,Hyderabad
121,2010,2010-01-17,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Punjab Kings,field,153,160,Punjab Kings,runs,7,Chris Gayle,Hyderabad
122,2010,2010-04-15,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,177,180,Chennai Super Kings,runs,3,MS Dhoni,Delhi
123,2010,2010-03-21,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,146,156,Mumbai Indians,runs,10,Hardik Pandya,Delhi
124,2010,2010-02-12,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,159,149,Rajasthan Royals,wickets,3,Suresh Raina,Jaipur
125,2010,2010-04-30,Rajasthan Royals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,199,171,Rajasthan Royals,runs,28,Rishabh Pant,Jaipur
126,2010,2010-03-27,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,field,145,181,Kolkata Knight Riders,runs,36,Gautam Gambhir,Delhi
127,2010,2010-03-24,Royal Challengers Bangalore,Mumbai Indians,"M. Chinnaswamy Stadium, Bangalore",Mumbai Indians,field,206,183,Royal Challengers Bangalore,wickets,7,Ishan Kishan,Bangalore
128,2010,2010-04-28,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field,140,153,Chennai Super Kings,runs,13,Suresh Raina,Delhi
129,2010,2010-04-18,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Delhi Capitals,field,190,148,Sunrisers Hyderabad,wickets,1,Rishabh Pant,Hyderabad
130,2010,2010-05-21,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai Indians,field,175,178,Delhi Capitals,wickets,5,Shikhar Dhawan,Mumbai
131,2010,2010-01-19,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,151,161,Sunrisers Hyderabad,wickets,3,David Warner,Kolkata
132,2010,2010-03-20,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,109,142,Mumbai Indians,runs,33,Rohit Sharma,Mohali
133,2010,2010-03-15,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,163,138,Rajasthan Royals,wickets,9,Ruturaj Gaikwad,Jaipur
134,2010,2010-01-14,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,field,197,134,Delhi Capitals,wickets,2,Sanju Samson,Delhi
135,2010,2010-01-18,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field,160,165,Rajasthan Royals,wickets,2,Gautam Gambhir,Kolkata
136,2010,2010-03-13,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders,field,193,134,Chennai Super Kings,wickets,7,Ruturaj Gaikwad,Chennai
137,2010,2010-04-19,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,188,163,Kolkata Knight Riders,wickets,4,KL Rahul,Kolkata
138,2010,2010-04-13,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,150,172,Mumbai Indians,runs,22,Jos Buttler,Jaipur
139,2010,2010-04-28,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,171,150,Chennai Super Kings,wickets,6,Ruturaj Gaikwad,Chennai
